icao,latitude,longitude,name
VHXX,22.32753500,114.19287600,[X] CLOSED Kai Tak
E46,29.87489694,-103.69712667,02 Ranch
SSOK,-23.21416667,-51.185833325,14 Bis
1RSU,-23.52244688,133.67969744,1RSU-NT
1T1,29.65023583,-96.57941639,2 G Ranch
NM47,32.78011333,-104.38135056,2 X 4 Ranch
OG00,44.557895,-121.40143806,3 Rivers Recreation Area
CA54,37.67048527,-121.32771945,33 Strip
96GA,33.18583333,-84.36805556,3MS
7I6,39.82504472,-86.88334195,4 Winds Aerodrome
9M9,32.40986527,-91.34872528,4B Ranch
XS50,27.38364833,-98.31000806,4G Ranch
PA81,39.91277777,-77.53277778,5 Lakes
1OK8,35.72977277,-97.54143084,5B Ranch
63KS,39.32832944,-97.06085028,5D Ranch
73WA,47.85099111,-118.33026556,7 Bays
PS53,40.638955,-78.58140973,7H Skeet Club Inc Field
81CA,38.71657111,-122.56776112,7M Ranch
CL25,34.93552916,-119.45178695,7R Ranch
FD02,29.48497083,-82.02203501,85th Avenue Airstrip
96KY,37.55222222,-87.27138889,A & L
RKSG,36.9622125,127.0310705,A 511
WY11,41.16158499,-106.55859559,A A RANCH
LECO,43.30250544,-008.38079777,A Coruna
61PN,40.42565888,-75.23239695,A G A Farms
KOCH,31.5777705,-94.710129,A L Mangham JR RGNL
KAPH,38.0688765,-77.3189585,A P HILL AAF
TX27,27.85695916,-99.07947056,A P Ranch
XS79,29.25857222,-98.45834862,A W Ranch
U23,37.12083444,-109.98595723,A Z Minerals Corporation
XS39,29.53634472,-95.26410223,A&A Flying Service
MI21,41.73755,-84.56495,A.C. Miller
7Y7,44.66662944,-93.78357362,A.R.S. Sport Strip
EGVP,51.14938708,-001.56963679,AAC Middle Wallop
EDKA,50.823182,6.1863665,Aachen Merzbruck
EKYT,57.09020100,009.86495300,Aalborg
EDPA,48.7776075,10.26460625,AALEN HEIDENHEIM ELCHINGEN
FY00,-25.35,16.1,Aandster
EKAH,56.30088400,010.61697000,Aarhus
1VA7,36.6659725,-78.722505,Aaron Penston Fld
81Y,40.86251194,-98.06422195,Aarons Field
EKVH,56.845396375,9.4598203025,Aars
BGAA,68.7217484,-52.7847519,Aasiaat
EFAA,67.6031,23.9758,Aavahelukka
SNDH,-12.16027778,-45.0225,Aba
FY01,-23.9906,16.0811,Ababis Guest Farm
OIAA,30.365179,48.2331695,ABADAN
SNLI,-19.155597,-45.4947775,ABAETE
NGAB,01.79900735,173.03935122,Abaiang Atoll
UNAA,53.7434346666667,91.385782,ABAKAN
SDLI,-8.736996,-39.115389,ABARE
LFOI,50.14349,1.8318915,Abbeville
0R3,29.9757625,-92.08421,ABBEVILLE CHRIS CRUSTA MEM
0J0,31.60016777,-85.23882223,Abbeville Municipal
EIAB,53.59136969,-007.64958877,Abbeyshrule
YABG,-27.33532318,147.26811050,Abbieglassie
CYXX,49.02711300,-122.37642100,Abbotsford
83NE,42.32499944,-99.75595778,Abbott
WARA,-07.92163000,112.71675100,Abdul Rachman Saleh
FTTC,13.8474415,20.843247,ABECHE
