lat,lon,altft,type,rwys,icao,name
22.32753500,114.19287600,15,1,1,VHXX,[X] CLOSED Kai Tak
29.87489694,-103.69712667,3799,1,2,E46,02 Ranch
-23.21416667,-51.185833325,1932,1,1,SSOK,14 Bis
-23.52244688,133.67969744,2352,1,2,1RSU,1RSU-NT
29.65023583,-96.57941639,255,1,2,1T1,2 G Ranch
32.78011333,-104.38135056,3360,1,3,NM47,2 X 4 Ranch
44.557895,-121.40143806,2695,1,1,OG00,3 Rivers Recreation Area
37.67048527,-121.32771945,81,1,1,CA54,33 Strip
33.18583333,-84.36805556,890,1,1,96GA,3MS
39.82504472,-86.88334195,810,1,1,7I6,4 Winds Aerodrome
32.40986527,-91.34872528,80,1,1,9M9,4B Ranch
27.38364833,-98.31000806,272,1,2,XS50,4G Ranch
39.91277777,-77.53277778,819,1,1,PA81,5 Lakes
35.72977277,-97.54143084,1085,1,1,1OK8,5B Ranch
39.32832944,-97.06085028,1190,1,1,63KS,5D Ranch
47.85099111,-118.33026556,1580,1,1,73WA,7 Bays
40.638955,-78.58140973,1605,1,1,PS53,7H Skeet Club Inc Field
38.71657111,-122.56776112,1300,1,1,81CA,7M Ranch
34.93552916,-119.45178695,3176,1,1,CL25,7R Ranch
29.48497083,-82.02203501,80,1,1,FD02,85th Avenue Airstrip
37.55222222,-87.27138889,465,1,1,96KY,A & L
36.9622125,127.0310705,51,1,1,RKSG,A 511
41.16158499,-106.55859559,7880,1,1,WY11,A A RANCH
43.30250544,-008.38079777,323,1,1,LECO,A Coruna
40.42565888,-75.23239695,450,1,1,61PN,A G A Farms
31.5777705,-94.710129,355,1,1,KOCH,A L Mangham JR RGNL
38.0688765,-77.3189585,220,1,1,KAPH,A P HILL AAF
27.85695916,-99.07947056,480,1,1,TX27,A P Ranch
29.25857222,-98.45834862,540,1,1,XS79,A W Ranch
37.12083444,-109.98595723,5315,1,2,U23,A Z Minerals Corporation
29.53634472,-95.26410223,49,1,2,XS39,A&A Flying Service
41.73755,-84.56495,944,1,1,MI21,A.C. Miller
44.66662944,-93.78357362,955,1,1,7Y7,A.R.S. Sport Strip
51.14938708,-001.56963679,296,1,7,EGVP,AAC Middle Wallop
50.823182,6.1863665,623,1,1,EDKA,Aachen Merzbruck
57.09020100,009.86495300,10,1,2,EKYT,Aalborg
48.7776075,10.26460625,1916,1,2,EDPA,AALEN HEIDENHEIM ELCHINGEN
-25.35,16.1,3380,1,1,FY00,Aandster
56.30088400,010.61697000,82,1,2,EKAH,Aarhus
36.6659725,-78.722505,413,1,1,1VA7,Aaron Penston Fld
40.86251194,-98.06422195,1825,1,1,81Y,Aarons Field
56.845396375,9.4598203025,119,1,2,EKVH,Aars
68.7217484,-52.7847519,74,1,1,BGAA,Aasiaat
67.6031,23.9758,738,1,1,EFAA,Aavahelukka
-12.16027778,-45.0225,1682,1,1,SNDH,Aba
-23.9906,16.0811,3510,1,1,FY01,Ababis Guest Farm
30.365179,48.2331695,19,1,2,OIAA,ABADAN
-19.155597,-45.4947775,2178,1,1,SNLI,ABAETE
01.79900735,173.03935122,32,1,1,NGAB,Abaiang Atoll
53.7434346666667,91.385782,831,1,3,UNAA,ABAKAN
