type,lat,lon,alt,frq,rng,frq2,id,icao,rwy,name
4,39.98091100,-075.87781400,660,10850,18,281.662,IMQS,40N,29,ILS-cat-I
4,-09.45892200,147.23122500,128,11010,18,148.638,IWG,AYPY,14L,ILS-cat-I
4,-09.42763300,147.21190000,103,10950,18,328.625,IBB,AYPY,32R,ILS-cat-I
4,76.53263092,-068.63301849,251,10950,18,85.060,IITL,BGTL,08T,ILS-cat-I
4,65.29250000,-014.39113889,76,10930,18,25.260,IES,BIEG,04,ILS-cat-I
4,63.99333333,-022.60544444,163,11130,18,0.020,IKN,BIKF,02,ILS-cat-I
4,63.98505556,-022.58375000,171,10950,18,89.970,IKF,BIKF,11,ILS-cat-II
4,63.96313889,-022.60544444,137,11030,18,180.020,IKO,BIKF,20,ILS-cat-II
4,63.98502778,-022.66172222,111,10850,18,270.020,IKW,BIKF,29,ILS-cat-I
4,65.74219444,-019.57691667,8,10970,18,351.000,IKR,BIKR,01,ILS-cat-I
4,64.12069444,-021.93594444,20,10990,18,175.260,IRK,BIRK,19,ILS-cat-I
4,42.55875000,021.03730600,1794,11010,18,175.689,PRS,BKPR,17,ILS-cat-I
4,46.48058319,-084.49645233,630,10950,18,107.889,IAM,CYAM,12,ILS-cat-I
4,49.13481522,-068.18991852,66,11030,18,79.376,IBC,CYBC,10,ILS-cat-I
4,48.33226776,-071.02123260,520,11150,25,270.975,IBG,CYBG,29,ILS-cat-II
4,49.94567100,-125.26271800,309,10910,18,134.754,IBL,CYBL,11,ILS-cat-I
4,49.94567100,-125.26271800,309,10910,18,134.380,IBL,CYBL,29,ILS-cat-I
4,49.90753190,-099.93611066,1343,11010,18,88.729,IBR,CYBR,08,ILS-cat-I
4,49.20415115,-057.40223312,72,11030,18,226.299,IDF,CYDF,25,ILS-cat-I
4,53.33537491,-113.56552664,2373,11030,18,35.400,IEG,CYEG,02,ILS-cat-I
4,53.28690590,-113.56066444,2373,10990,18,135.198,IFB,CYEG,12,ILS-cat-I
4,53.30870439,-113.59688599,2373,10910,18,315.198,IKB,CYEG,30,ILS-cat-I
4,45.87173462,-066.51671600,67,11130,18,69.849,IDC,CYFC,09,ILS-cat-I
4,45.86161804,-066.51708221,67,10990,18,130.249,IFC,CYFC,15,ILS-cat-I
4,44.21701000,-076.60066200,299,11130,18,175.728,IGK,CYGK,19,ILS-cat-I
4,49.82782000,-092.73004900,1305,10970,18,113.588,IHD,CYHD,11,ILS-cat-I
4,43.17174296,-079.91545418,780,11090,18,107.830,IAB,CYHM,12,ILS-cat-I
4,45.50910187,-073.43199921,87,11110,20,227.369,IHU,CYHU,24R,ILS-cat-I
4,44.88101578,-063.49280167,477,10910,30,125.217,IHZ,CYHZ,14,ILS-cat-I
4,44.86840057,-063.52521515,477,10990,30,215.017,IJG,CYHZ,23,ILS-cat-I
4,43.45637100,-080.39218100,1020,11070,18,244.025,IKF,CYKF,26,ILS-cat-I
4,49.94391900,-119.37605000,1049,11130,18,174.871,ILW,CYLW,16,ILS-cat-I
4,50.32527800,-105.53888900,1892,10930,18,118.838,IIBP,CYMJ,11L,ILS-cat-I
4,56.65245800,-111.23961600,1198,10990,18,268.965,IMM,CYMM,25,ILS-cat-I
4,45.69630051,-073.98481750,270,11130,18,44.964,IKP,CYMX,06,ILS-cat-II
4,45.66558456,-074.03964996,270,11090,18,98.517,IJX,CYMX,11,ILS-cat-I
4,45.66849899,-074.02456665,270,11170,18,224.939,IIT,CYMX,24,ILS-cat-I
4,45.32587100,-075.64337200,350,10950,18,57.167,IOW,CYOW,07,ILS-cat-I
4,45.32764100,-075.68701200,351,11030,18,306.330,IRP,CYOW,32,ILS-cat-I
4,53.21798325,-105.65809631,1388,11030,18,90.000,IPA,CYPA,08,ILS-cat-I
4,54.27765300,-130.43698300,91,10970,18,152.000,IPR,CYPR,13,ILS-cat-I
4,46.80175018,-071.37843323,197,10950,18,44.330,IQB,CYQB,06,ILS-cat-I
4,42.27236900,-082.97312900,620,11030,18,242.093,IQG,CYQG,25,ILS-cat-I
4,43.81713486,-066.09799957,141,10970,18,222.053,IQI,CYQI,24,ILS-cat-I
4,49.63019200,-112.78788800,2999,10950,18,69.659,IQL,CYQL,05,ILS-cat-I
4,46.12106705,-064.67476654,232,10970,18,42.515,IFG,CYQM,06,ILS-cat-I
4,46.10653305,-064.69850159,232,10930,18,267.407,IQM,CYQM,29,ILS-cat-I
4,49.69939200,-124.86863600,12,11170,18,135.000,IQQ,CYQQ,12,ILS-cat-I
4,50.42106500,-104.64536800,1894,10950,18,138.100,IQR,CYQR,13,ILS-cat-I
4,48.37639999,-089.30728149,653,10950,18,70.525,IQT,CYQT,07,ILS-cat-I
4,55.18719100,-118.90004000,2175,10990,18,314.484,IQU,CYQU,30,ILS-cat-I
4,48.94965018,-054.55986166,496,10950,18,10.933,IQX,CYQX,03,ILS-cat-I
4,48.94565947,-054.54890356,496,10990,18,107.314,IGN,CYQX,13,ILS-cat-I
4,46.16988373,-060.03715134,203,11030,18,45.887,IQY,CYQY,07,ILS-cat-I
4,46.14968491,-060.03498459,203,10950,18,165.288,INO,CYQY,19,ILS-cat-I
4,46.61578400,-080.80614500,1140,11030,18,208.576,ISB,CYSB,22,ILS-cat-I
4,45.32109833,-065.87903595,357,10830,18,30.907,IDM,CYSJ,05,ILS-cat-I
4,45.30044937,-065.89661407,357,11150,18,210.893,ISJ,CYSJ,23,ILS-cat-I
4,44.10878400,-077.54505900,283,10970,18,232.766,ITR,CYTR,24,ILS-cat-I
4,48.58030300,-081.36882000,967,10970,18,21.133,ITS,CYTS,03,ILS-cat-I
4,43.62972400,-079.39003400,250,11015,18,73.550,ITZ,CYTZ,08,ILS-cat-I
4,45.48513412,-073.73436737,115,10930,18,42.529,IUL,CYUL,06L,ILS-cat-II
4,45.47916794,-073.71369934,116,11050,18,42.823,IOA,CYUL,06R,ILS-cat-I
4,45.46351624,-073.73118591,116,11010,18,88.029,IDO,CYUL,10,ILS-cat-I
4,45.45583344,-073.74455261,116,11050,18,222.829,IMQ,CYUL,24L,ILS-cat-I
4,45.45964813,-073.76770020,116,11190,18,222.529,IZZ,CYUL,24R,ILS-cat-I
4,48.03861618,-077.77868652,1107,11030,50,169.304,IVO,CYVO,18,ILS-cat-I
4,49.20028600,-123.15885700,1,11055,18,99.847,ITL,CYVR,08L,ILS-cat-III
4,49.18438600,-123.15899400,4,10950,18,100.165,IVR,CYVR,08R,ILS-cat-II
4,49.18330000,-123.18105300,10,11110,18,142.040,IMK,CYVR,12,ILS-cat-I
4,49.19025000,-123.20919800,4,11070,18,279.927,IFZ,CYVR,26L,ILS-cat-I
4,49.20520900,-123.20206900,9,11195,18,279.863,IRD,CYVR,26R,ILS-cat-III
4,49.89420735,-097.22568483,783,10950,18,137.383,INP,CYWG,13,ILS-cat-I
4,49.91384865,-097.25374355,783,11030,18,317.383,IHV,CYWG,31,ILS-cat-I
4,49.92669377,-097.23381380,783,10990,18,9.231,IWG,CYWG,36,ILS-cat-I
4,49.60269900,-115.78220400,3058,11030,18,179.820,IXC,CYXC,16,ILS-cat-I
4,53.58145048,-113.51166900,2200,10950,18,360.000,IXD,CYXD,34,ILS-cat-I
4,52.17344100,-106.67577800,1636,10990,18,101.000,IST,CYXE,09,ILS-cat-I
4,56.24630000,-120.75557700,2234,10950,18,315.822,IXJ,CYXJ,29,ILS-cat-I
4,53.87889900,-122.66401700,2195,10950,18,169.840,IXS,CYXS,15,ILS-cat-I
4,53.87889900,-122.66401700,2195,10950,18,169.840,IXS,CYXS,33,ILS-cat-I
4,54.48048000,-128.59081000,674,11010,18,351.976,IXT,CYXT,33,ILS-cat-I
4,43.02227000,-081.13610100,906,10950,18,138.878,IXU,CYXU,15,ILS-cat-I
4,49.02122200,-122.33768600,187,10970,18,85.776,IXX,CYXX,07,ILS-cat-I
4,46.37097200,-079.39945200,1194,11090,18,65.227,IYB,CYYB,08,ILS-cat-I
4,51.09550100,-114.02124800,3536,10930,18,179.166,IEM,CYYC,16,ILS-cat-I
4,51.12710068,-114.03855847,3557,11090,18,298.792,IAQ,CYYC,28,ILS-cat-I
4,51.13290000,-114.02129400,3534,11150,18,359.820,IYC,CYYC,34,ILS-cat-I
4,58.84100000,-122.58527400,1217,11030,18,57.281,IYE,CYYE,03,ILS-cat-I
4,46.30143356,-063.12260056,160,11090,18,9.046,IYG,CYYG,03,ILS-cat-I
4,48.64574100,-123.41040000,63,10870,18,105.298,IKH,CYYJ,09,ILS-cat-I
4,48.65134800,-123.44139900,62,10870,18,285.243,IYJ,CYYJ,27,ILS-cat-I
4,47.62516785,-052.73509979,461,10910,18,85.898,IMP,CYYT,11,ILS-cat-I
4,47.60913467,-052.73246765,461,11070,18,139.187,IYT,CYYT,16,ILS-cat-I
4,47.62314987,-052.77690125,461,11030,18,265.890,UYT,CYYT,29,ILS-cat-II
4,43.69588500,-079.63249000,569,10970,18,46.495,ITX,CYYZ,05,ILS-cat-I
4,43.68074000,-079.59477000,534,10910,18,46.536,IJS,CYYZ,06L,ILS-cat-I
4,43.67685400,-079.59491700,568,11195,18,46.527,IICV,CYYZ,06R,ILS-cat-I
4,43.66543900,-079.60760700,569,11050,18,136.889,ILW,CYYZ,15L,ILS-cat-I
4,43.66633100,-079.62693700,569,11095,18,136.934,ILP,CYYZ,15R,ILS-cat-I
4,43.67157200,-079.66781100,569,11150,18,226.202,IYZ,CYYZ,23,ILS-cat-I
4,43.65345100,-079.62895100,568,11195,18,226.360,IIDP,CYYZ,24L,ILS-cat-I
4,43.65548100,-079.63150800,569,10930,18,226.372,INV,CYYZ,24R,ILS-cat-I
4,43.68805100,-079.65531000,569,11095,18,317.371,ITO,CYYZ,33L,ILS-cat-I
4,43.69630300,-079.64788700,569,11030,18,316.613,ILE,CYYZ,33R,ILS-cat-I
4,62.47471410,-114.44425269,675,10950,18,355.666,IZF,CYZF,33,ILS-cat-I
4,53.24716900,-131.80529800,10,10950,18,144.574,IZP,CYZP,12,ILS-cat-I
4,43.00542010,-082.31651681,594,10970,18,317.104,IZR,CYZR,32,ILS-cat-I
4,50.67676900,-127.35585000,49,10950,18,130.560,IZT,CYZT,11,ILS-cat-I
4,50.22546768,-066.24233246,172,10950,18,69.033,IZV,CYZV,09,ILS-cat-I
4,44.98098373,-064.93408203,85,11070,18,244.478,IZX,CYZX,26,ILS-cat-I
4,36.69111100,003.21333300,82,10850,18,91.730,HB,DAAG,09,ILS-cat-I
4,36.69221100,003.21751700,82,11030,18,232.742,AG,DAAG,23,ILS-cat-I
4,36.81624700,007.80914200,16,10970,18,185.701,AN,DABB,19,ILS-cat-II
4,36.28632200,006.61261100,2303,10930,18,316.215,CT,DABC,32,ILS-cat-I
4,06.35003900,002.37491900,19,10950,18,232.725,ICN,DBBB,24,ILS-cat-I
4,12.36660300,-001.50333600,977,11010,18,33.537,OG,DFFD,04L,ILS-cat-II
4,05.58734989,-000.17381667,204,10990,18,202.099,IACA,DGAA,21,ILS-cat-I
4,05.24605300,-003.93213900,13,11030,18,201.454,AN,DIAP,21,ILS-cat-I
4,09.02318600,007.27475800,1224,11190,18,34.913,IAC,DNAA,04,ILS-cat-II
4,08.99040800,007.25159200,1175,10930,18,214.913,IAB,DNAA,22,ILS-cat-II
4,08.45074800,004.50523200,1102,10990,18,47.638,IIL,DNIL,05,ILS-cat-II
4,09.63834400,008.88515300,4232,11070,18,95.297,IJS,DNJO,10,ILS-cat-I
4,10.70573200,007.33105300,2073,11010,18,48.420,IKA,DNKA,05,ILS-cat-I
4,12.05591700,008.53898100,1499,11030,18,44.464,IKC,DNKN,05,ILS-cat-I
4,12.05682500,008.53468100,1509,10950,18,60.983,IKN,DNKN,06,ILS-cat-I
4,12.04032800,008.50426900,1568,11110,18,240.977,IKK,DNKN,24,ILS-cat-I
4,11.86615800,013.09304200,1096,11030,18,46.508,IMA,DNMA,05,ILS-cat-I
4,06.56955600,003.32916700,92,11030,18,179.942,ILA,DNMM,18L,ILS-cat-II
4,06.54922500,003.31359400,56,10810,18,179.944,ILB,DNMM,18R,ILS-cat-II
4,09.66503300,006.47528100,834,11050,18,45.135,IMN,DNMN,05,ILS-cat-I
4,05.00111900,006.94184700,85,11030,18,208.090,IPC,DNPO,21,ILS-cat-I
4,12.91967500,005.22318900,1024,10950,18,76.617,ISK,DNSO,08,ILS-cat-I
4,09.24161100,012.43315800,599,10990,18,170.538,IYL,DNYO,17,ILS-cat-I
