icao,lat1,lon1,lat2,lon2,width,sign
VHXX,22.32526300,114.19222700,22.30395000,114.21587400,54.86,13
E46,29.88083567,-103.70108085,29.86895821,-103.69317249,30.48,15
E46,29.87181142,-103.70136737,29.87798246,-103.69288597,30.48,05
SSOK,-23.21480832,-051.19038734,-23.21352502,-051.18127931,17.98,10
1RSU,-23.53246610,133.68587381,-23.52755315,133.68954508,39.93,3
1RSU,-23.52883459,133.66776261,-23.51384459,133.69025847,86.87,5
1T1,29.65570843,-096.57985673,29.64476323,-096.57897605,15.24,17
1T1,29.65007606,-096.58204544,29.65039560,-096.57678734,9.14,08
NM47,32.77822536,-104.38455756,32.78200130,-104.37814356,18.29,05
NM47,32.77741703,-104.37910499,32.78280963,-104.38359613,18.29,32
NM47,32.77741202,-104.38191709,32.78281464,-104.38078403,18.29,36
OG00,44.55532615,-121.41036121,44.56046385,-121.39251491,15.24,05
CA54,37.67109012,-121.33038436,37.66988042,-121.32505454,9.14,09
96GA,33.18994529,-084.36822714,33.18172137,-084.36788398,60.96,18
7I6,39.82765015,-086.88340117,39.82243929,-086.88328273,29.57,18
9M9,32.41059337,-091.35246092,32.40913717,-091.34498964,30.48,10
XS50,27.38423567,-098.31539520,27.38306099,-098.30462092,30.48,09
XS50,27.38691826,-098.31344211,27.38037840,-098.30657401,30.48,13
PA81,39.91337966,-077.53681478,39.91217588,-077.52874078,30.48,11
1OK8,35.73305984,-097.54164305,35.72648570,-097.54121863,30.48,17
63KS,39.32989767,-097.06354070,39.32676121,-097.05815986,15.24,12
73WA,47.85434194,-118.32844814,47.84764028,-118.33208298,18.29,18
PS53,40.63744456,-078.58386777,40.64046544,-078.57895169,38.10,06
81CA,38.72258917,-122.57520947,38.71055305,-122.56031277,15.24,12
CL25,34.93733144,-119.45504628,34.93372688,-119.44852762,12.19,11
FD02,29.48875822,-082.02388186,29.48118344,-082.02018816,39.62,16
96KY,37.55218871,-087.27381043,37.55225573,-087.26896735,30.48,09
RKSG,36.96967500,127.02052200,36.95475000,127.04161900,45.72,14
WY11,41.16436138,-106.56016182,41.14981793,-106.55309304,14.94,14
LECO,43.29477658,-008.38325303,43.30975142,-008.37091842,45.11,04
61PN,40.42263278,-075.23550270,40.42868498,-075.22929120,16.76,05
KOCH,31.58462200,-094.70950000,31.57091900,-094.71075800,22.86,18
KAPH,38.06666400,-077.32156100,38.07108900,-077.31635600,30.48,05
TX27,27.86126259,-099.08251211,27.85265573,-099.07642901,15.24,14
XS79,29.26103752,-098.45849671,29.25610692,-098.45820053,60.96,17
U23,37.11720054,-109.99325057,37.12446834,-109.97866389,10.67,05
U23,37.11705440,-109.98299493,37.12461448,-109.98891953,10.67,32
XS39,29.53663144,-095.26723765,29.53605800,-095.26096681,15.24,09
XS39,29.53421302,-095.26211817,29.53847642,-095.26608629,15.24,32
MI21,41.73573862,-084.56706017,41.73936138,-084.56283983,15.24,05
7Y7,44.67008030,-093.78408360,44.66317858,-093.78306364,38.10,17
EGVP,51.14572521,-001.57607623,51.14675798,-001.56043752,45.11,08
EGVP,51.14857157,-001.55992723,51.15058613,-001.55717579,25.91,04
EGVP,51.14630063,-001.57379444,51.13569684,-001.57187185,45.11,17
EDKA,50.82263400,006.18277500,50.82373000,006.18995800,20.12,08
EKYT,57.09371474,009.83338123,57.09652392,009.87687477,45.11,08L
EKYT,57.09190815,009.83547587,57.09459624,009.87724413,22.86,08R
EDPA,48.77724400,010.25833100,48.77751900,010.27076100,29.87,09R
EDPA,48.77775500,010.25820500,48.77791200,010.27112800,24.99,09L
FY00,-25.35350000,016.09540000,-25.34650000,016.10460000,14.94,05
EKAH,56.30743300,010.59779700,56.30297500,010.64193100,22.86,10L
EKAH,56.30549200,010.59756700,56.30115800,010.64051100,45.11,10R
1VA7,36.66350720,-078.72266607,36.66843780,-078.72234393,33.53,01
81Y,40.85891819,-098.06480541,40.86610569,-098.06363849,19.81,36
EKVH,56.84862061,009.44912917,56.84543663,009.46796030,22.86,11
EKVH,56.84622726,009.46062418,56.84130100,009.46156756,29.87,17
BGAA,68.72101972,-052.79444788,68.72247708,-052.77505592,29.87,12
EFAA,67.60585683,023.96972878,67.60034317,023.98187122,29.87,14
SNDH,-12.15856170,-045.02774416,-12.16199386,-045.01725584,22.86,13
FY01,-23.99060000,016.07670000,-23.99060000,016.08550000,10.06,09
OIAA,30.37875000,048.22120000,30.35595000,048.23989200,45.11,14R
OIAA,30.37133300,048.22896900,30.35468300,048.24261700,35.05,14L
SNLI,-19.15094400,-045.49769400,-19.16025000,-045.49186100,29.87,17
NGAB,01.80097433,173.03631723,01.79717454,173.04421648,36.88,11
UNAA,53.72676100,091.37467200,53.75323600,091.39549700,45.11,02R
UNAA,53.73120800,091.37704400,53.75137500,091.39291700,80.16,02C
UNAA,53.74373600,091.38315600,53.75429200,091.39140600,28.04,02L
SDLI,-08.73623100,-039.12071100,-08.73776100,-039.11006700,19.81,12
LFOI,50.13827200,001.82865000,50.14870800,001.83513300,22.86,02
0R3,29.98215000,-092.08706700,29.96937500,-092.08135300,22.86,15
0J0,31.60409087,-085.23971756,31.59624467,-085.23792690,24.38,17
EIAB,53.59186495,-007.65310331,53.59210590,-007.64066829,17.98,10
YABG,-27.33513510,147.26490320,-27.34501360,147.26520920,39.93,17
CYXX,49.01911500,-122.37996700,49.02104800,-122.34005800,60.96,07
CYXX,49.01877000,-122.37871800,49.03176400,-122.36917600,60.96,01
CYXX,49.02608640,-122.37408779,49.02976278,-122.37147182,28.96,01L
83NE,42.32852623,-099.75882401,42.32147265,-099.75309155,45.72,14
WARA,-07.91831900,112.71167200,-07.93564400,112.71588600,39.93,17
WARA,-07.91952500,112.71363300,-07.93273600,112.71685800,29.87,17L
FTTC,13.84798600,020.83030800,13.84689700,020.85618600,29.87,09
77KS,37.37066020,-096.87795151,37.36438590,-096.87878127,18.29,18
MUSC,22.48892800,-079.95784400,22.49545800,-079.92938100,45.11,08
NGTB,00.49158200,173.82460700,00.48997700,173.83565200,24.08,09
EGPD,57.20956900,-002.20342800,57.19428600,-002.19215000,46.02,16
EGPD,57.20313300,-002.20088300,57.19919200,-002.19459400,35.97,14
EGPD,57.20411100,-002.20163300,57.20705000,-002.19593900,46.02,05
EGPD,57.20704841,-002.20177721,57.20459400,-002.20173600,22.86,18
31VA,37.01226100,-076.59109200,37.02813300,-076.58667500,18.29,02
U36,42.92032800,-112.88783900,42.92188900,-112.87438300,15.24,06
KABR,45.45523600,-098.42803600,45.44184200,-098.40904700,29.87,13
KABR,45.45555300,-098.42735300,45.44046900,-098.42732500,29.87,17
YABF,-21.67270716,145.26320141,-21.66862200,145.26859600,17.07,5
